eepsilon =0.1
psilon=0.75 
Epoch 056/350 | Train NLL: 20.7734 | Test NLL (best arm 36): 21.2271 | Bandit epsilon: 0.7500
Epoch 057/350 | Train NLL: 19.8197 | Test NLL (best arm 36): 21.2902 | Bandit epsilon: 0.7500
Epoch 058/350 | Train NLL: 19.3800 | Test NLL (best arm 36): 18.4532 | Bandit epsilon: 0.7500
Epoch 059/350 | Train NLL: 17.8697 | Test NLL (best arm 36): 17.3041 | Bandit epsilon: 0.7500
Epoch 060/350 | Train NLL: 16.7188 | Test NLL (best arm 36): 16.3674 | Bandit epsilon: 0.7500
Epoch 061/350 | Train NLL: 17.0981 | Test NLL (best arm 36): 16.8740 | Bandit epsilon: 0.7500
Epoch 062/350 | Train NLL: 15.7208 | Test NLL (best arm 36): 15.3175 | Bandit epsilon: 0.7500
Epoch 063/350 | Train NLL: 15.9917 | Test NLL (best arm 36): 15.5953 | Bandit epsilon: 0.7500
Epoch 064/350 | Train NLL: 15.5451 | Test NLL (best arm 36): 15.6456 | Bandit epsilon: 0.7500
Epoch 065/350 | Train NLL: 14.6254 | Test NLL (best arm 36): 14.1798 | Bandit epsilon: 0.7500
Epoch 066/350 | Train NLL: 13.8394 | Test NLL (best arm 36): 14.2284 | Bandit epsilon: 0.7500
Epoch 067/350 | Train NLL: 13.1538 | Test NLL (best arm 36): 13.3934 | Bandit epsilon: 0.7500
Epoch 068/350 | Train NLL: 12.5713 | Test NLL (best arm 36): 11.8112 | Bandit epsilon: 0.7500
Epoch 069/350 | Train NLL: 11.1961 | Test NLL (best arm 36): 10.5988 | Bandit epsilon: 0.7500
Epoch 070/350 | Train NLL: 10.8847 | Test NLL (best arm 36): 10.6379 | Bandit epsilon: 0.7500
Epoch 071/350 | Train NLL: 9.4752 | Test NLL (best arm 36): 9.3532 | Bandit epsilon: 0.7500
Epoch 072/350 | Train NLL: 9.7019 | Test NLL (best arm 36): 9.6540 | Bandit epsilon: 0.7500
Epoch 073/350 | Train NLL: 8.6039 | Test NLL (best arm 36): 8.2225 | Bandit epsilon: 0.7500
Epoch 074/350 | Train NLL: 8.3826 | Test NLL (best arm 36): 10.2291 | Bandit epsilon: 0.7500
Epoch 075/350 | Train NLL: 8.1096 | Test NLL (best arm 36): 8.6541 | Bandit epsilon: 0.7500
Epoch 076/350 | Train NLL: 6.7877 | Test NLL (best arm 36): 6.5546 | Bandit epsilon: 0.7500
Epoch 077/350 | Train NLL: 5.2324 | Test NLL (best arm 36): 4.9865 | Bandit epsilon: 0.7500
Epoch 078/350 | Train NLL: 5.4262 | Test NLL (best arm 36): 4.6422 | Bandit epsilon: 0.7500
Epoch 079/350 | Train NLL: 4.8302 | Test NLL (best arm 36): 4.5741 | Bandit epsilon: 0.7500
Epoch 080/350 | Train NLL: 3.4821 | Test NLL (best arm 36): 3.0764 | Bandit epsilon: 0.7500
Epoch 081/350 | Train NLL: 3.3056 | Test NLL (best arm 36): 2.5816 | Bandit epsilon: 0.7500
Epoch 082/350 | Train NLL: 1.7731 | Test NLL (best arm 36): 1.6113 | Bandit epsilon: 0.7500
Epoch 083/350 | Train NLL: 3.0663 | Test NLL (best arm 36): 1.6670 | Bandit epsilon: 0.7500
Epoch 084/350 | Train NLL: 2.2063 | Test NLL (best arm 36): 1.8067 | Bandit epsilon: 0.7500
Epoch 085/350 | Train NLL: 1.8517 | Test NLL (best arm 36): 2.2339 | Bandit epsilon: 0.7500
Epoch 086/350 | Train NLL: 1.0571 | Test NLL (best arm 36): 0.8264 | Bandit epsilon: 0.7500
Epoch 087/350 | Train NLL: -0.4399 | Test NLL (best arm 32): 0.5439 | Bandit epsilon: 0.7500
Epoch 088/350 | Train NLL: 0.1130 | Test NLL (best arm 32): 0.4011 | Bandit epsilon: 0.7500
Epoch 089/350 | Train NLL: -0.0800 | Test NLL (best arm 32): -0.7016 | Bandit epsilon: 0.7500
Epoch 090/350 | Train NLL: -0.9869 | Test NLL (best arm 32): -1.1251 | Bandit epsilon: 0.7500
Epoch 091/350 | Train NLL: -2.1954 | Test NLL (best arm 32): -2.5496 | Bandit epsilon: 0.7500
Epoch 092/350 | Train NLL: -2.5971 | Test NLL (best arm 32): -2.7884 | Bandit epsilon: 0.7500
Epoch 093/350 | Train NLL: -2.6546 | Test NLL (best arm 32): -1.2410 | Bandit epsilon: 0.7500
Epoch 094/350 | Train NLL: -3.9321 | Test NLL (best arm 32): -4.2452 | Bandit epsilon: 0.7500
Epoch 095/350 | Train NLL: -5.8953 | Test NLL (best arm 32): -6.0209 | Bandit epsilon: 0.7500
Epoch 096/350 | Train NLL: -5.5838 | Test NLL (best arm 32): -6.2076 | Bandit epsilon: 0.7500
Epoch 097/350 | Train NLL: -6.1381 | Test NLL (best arm 32): -5.8611 | Bandit epsilon: 0.7500
Epoch 098/350 | Train NLL: -7.8390 | Test NLL (best arm 32): -7.9787 | Bandit epsilon: 0.7500
Epoch 099/350 | Train NLL: -6.7310 | Test NLL (best arm 32): -6.6119 | Bandit epsilon: 0.7500
Epoch 100/350 | Train NLL: -6.2061 | Test NLL (best arm 32): -7.1677 | Bandit epsilon: 0.7500
Epoch 101/350 | Train NLL: -8.6147 | Test NLL (best arm 32): -8.4856 | Bandit epsilon: 0.7500
Epoch 102/350 | Train NLL: -8.8866 | Test NLL (best arm 32): -9.0904 | Bandit epsilon: 0.7500
Epoch 103/350 | Train NLL: -10.8729 | Test NLL (best arm 32): -10.8448 | Bandit epsilon: 0.7500
Epoch 104/350 | Train NLL: -10.8190 | Test NLL (best arm 32): -11.3460 | Bandit epsilon: 0.7500
Epoch 105/350 | Train NLL: -8.8519 | Test NLL (best arm 32): -9.9528 | Bandit epsilon: 0.7500
